decoder,decoded_int,success,cap_hit,stop_reason,alarm,trigger_metric,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,bch_decode_attempts,preprocessing_state_metrics,wall_seconds,first_component_gap,queue_touch_fraction,frame_uid,code_id,family,n,k,rate,condition,snr_db,true_label,transmitted_int,decoded_correct,trigger_threshold
event_ls_adaptive_l2,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_state_sweep_osd,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_state_sweep_chase_bch,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
normal_code_decoder,8.314403898893019e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.0065034040017053485,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
event_ls_first,8.314403898893019e+18,True,False,no_alarm_accept_no_slip,False,1.0078674350312047,22,0,1,1,1,1,1,1,64,0,22,1,0.006536528933793306,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
event_ls_adaptive_l2,8.314403898893019e+18,True,False,no_alarm_accept_no_slip,False,1.0078674350312047,22,0,1,1,1,1,1,1,64,0,22,1,0.006536528933793306,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
event_state_sweep_osd,8.314403898893019e+18,True,False,no_alarm_accept_no_slip,False,1.0078674350312047,22,0,1,1,1,1,1,1,64,0,22,1,0.006536528933793306,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
event_state_sweep_chase_bch,8.314403898893019e+18,True,False,no_alarm_accept_no_slip,False,1.0078674350312047,22,0,1,1,1,1,1,1,64,0,22,1,0.006536528933793306,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
normal_code_decoder,8.294824997057563e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.006603545043617487,,1.0,BCH64_45_no_slip_t7,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8294824997057562716,True,1.6668146288795762
event_ls_first,8.294824997057563e+18,True,False,no_alarm_accept_no_slip,False,1.1296672139683572,22,0,1,1,1,1,1,1,64,0,22,1,0.006634764024056494,,1.0,BCH64_45_no_slip_t7,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8294824997057562716,True,1.6668146288795762
event_ls_adaptive_l2,8.294824997057563e+18,True,False,no_alarm_accept_no_slip,False,1.1296672139683572,22,0,1,1,1,1,1,1,64,0,22,1,0.006634764024056494,,1.0,BCH64_45_no_slip_t7,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8294824997057562716,True,1.6668146288795762
event_state_sweep_osd,8.294824997057563e+18,True,False,no_alarm_accept_no_slip,False,1.1296672139683572,22,0,1,1,1,1,1,1,64,0,22,1,0.006634764024056494,,1.0,BCH64_45_no_slip_t7,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8294824997057562716,True,1.6668146288795762
