code_id,family,candidate,baseline,paired_trials,eligible_work_pairs,candidate_bler,candidate_bler_low,candidate_bler_high,candidate_cap_rate,candidate_minus_baseline_error_rate,error_diff_low,error_diff_high,baseline_to_candidate_wall_median_ratio,wall_ratio_low,wall_ratio_high,baseline_to_candidate_component_median_ratio,component_ratio_low,component_ratio_high,baseline_to_candidate_p99_wall_ratio,mcnemar
POLAR64_48,polar,event_ls_first,event_full_code_specific,169,169,0.07100591715976332,0.04108185594559849,0.11999905028290586,0.0,0.0,-0.01775147928994083,0.01775147928994083,25.41658670889464,18.71076596212804,28.688810001449824,1.4292803970223324,0.8609865470852018,2.51528384279476,0.49688848380306067,"{""a_only_errors"": 1, ""b_only_errors"": 1, ""discordant"": 2, ""p_a_better"": 0.75}"
POLAR64_48,polar,event_ls_adaptive_l2,event_full_code_specific,169,164,0.07692307692307693,0.045502738991758516,0.12714946508186992,0.029585798816568046,0.005917159763313609,0.0,0.01775147928994083,24.535277763091024,18.103639475586156,30.575148029907663,1.2604180133591898,0.7322349292498547,2.4963745400027255,0.47813237871077047,"{""a_only_errors"": 1, ""b_only_errors"": 0, ""discordant"": 1, ""p_a_better"": 1.0}"
POLAR64_48,polar,event_ls_first,event_posterior_pruned_code_specific,300,300,0.38666666666666666,0.3333235932848012,0.44287548019276246,0.0,-0.5066666666666667,-0.5650833333333333,-0.45,1.0,1.0,1.0,1.0,0.7561422413793107,1.0,0.04761910110457086,"{""a_only_errors"": 1, ""b_only_errors"": 153, ""discordant"": 154, ""p_a_better"": 6.787539436573333e-45}"
POLAR64_48,polar,event_ls_adaptive_l2,event_posterior_pruned_code_specific,300,295,0.39,0.3365300216309911,0.446251432038409,0.016666666666666666,-0.5033333333333333,-0.5566666666666666,-0.44666666666666666,1.0,1.0,1.0,1.0,0.75,1.0,0.041051487900651946,"{""a_only_errors"": 1, ""b_only_errors"": 152, ""discordant"": 153, ""p_a_better"": 1.3487497719126364e-44}"
POLAR64_48,polar,event_ls_first,event_state_marginal_code_specific,300,300,0.38666666666666666,0.3333235932848012,0.44287548019276246,0.0,-0.5166666666666667,-0.5733333333333334,-0.46,1.0,1.0,1.0,0.5071428571428571,0.30762931034482777,1.0,0.02782449553139703,"{""a_only_errors"": 0, ""b_only_errors"": 155, ""discordant"": 155, ""p_a_better"": 2.1895288505075267e-47}"
POLAR64_48,polar,event_ls_adaptive_l2,event_state_marginal_code_specific,300,295,0.39,0.3365300216309911,0.446251432038409,0.016666666666666666,-0.5133333333333333,-0.5666666666666667,-0.4533333333333333,1.0,1.0,1.0,0.6206896551724138,0.30491379310344857,1.0,0.023986948832581984,"{""a_only_errors"": 0, ""b_only_errors"": 154, ""discordant"": 154, ""p_a_better"": 4.3790577010150533e-47}"
POLAR64_48,polar,event_ls_first,event_full_state_osd,12,12,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.0,0.0,0.0,0.0,179.61315092632876,62.64300010782726,212.28886767804346,18.953461644973693,2.26292032239292,75.25531914893617,9.081438720883813,"{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}"
POLAR64_48,polar,event_ls_adaptive_l2,event_full_state_osd,12,12,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.0,0.0,0.0,0.0,184.73099342724277,59.87093202194142,215.4536049865041,18.953461644973693,2.26292032239292,59.46099290780141,7.060309504593923,"{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}"
POLAR64_48,polar,event_ls_first,dqpsk_control,300,300,0.38666666666666666,0.3333235932848012,0.44287548019276246,0.0,-0.17,-0.24508333333333324,-0.09333333333333334,0.6573127915430386,0.6121318710797632,0.7325223161324946,1.15515873015873,0.6951149425287356,2.715811965811966,0.009902116959914295,"{""a_only_errors"": 48, ""b_only_errors"": 99, ""discordant"": 147, ""p_a_better"": 1.5703779106193862e-05}"
POLAR64_48,polar,event_ls_adaptive_l2,dqpsk_control,300,295,0.39,0.3365300216309911,0.446251432038409,0.016666666666666666,-0.16666666666666666,-0.23666666666666666,-0.09,0.6873752652331808,0.6448317335220147,0.8837637199459238,1.4137931034482758,0.6833333333333333,4.555555555555555,0.008536419737913603,"{""a_only_errors"": 48, ""b_only_errors"": 98, ""discordant"": 146, ""p_a_better"": 2.1331729003508326e-05}"
