code_id,transform,collision_fraction,system_rank,consistent
POLAR64_48,tau2_d1,3.0517578125e-05,15,True
POLAR64_48,tau2_d3,3.0517578125e-05,15,True
POLAR64_48,tau3_d1,0.0,15,False
POLAR64_48,tau3_d3,0.0,15,False
POLAR64_48,tau4_d1,3.0517578125e-05,15,True
POLAR64_48,tau4_d3,3.0517578125e-05,15,True
POLAR64_48,tau5_d1,0.0,15,False
POLAR64_48,tau5_d3,0.0,15,False
POLAR64_48,tau6_d1,3.0517578125e-05,15,True
POLAR64_48,tau6_d3,3.0517578125e-05,15,True
POLAR64_48,tau7_d1,0.0,15,False
POLAR64_48,tau7_d3,0.0,15,False
POLAR64_48,tau8_d1,3.0517578125e-05,15,True
POLAR64_48,tau8_d3,3.0517578125e-05,15,True
POLAR64_48,tau9_d1,0.0,15,False
POLAR64_48,tau9_d3,0.0,15,False
POLAR64_48,tau10_d1,3.0517578125e-05,15,True
POLAR64_48,tau10_d3,3.0517578125e-05,15,True
POLAR64_48,tau11_d1,0.0,15,False
POLAR64_48,tau11_d3,0.0,15,False
POLAR64_48,tau12_d1,3.0517578125e-05,15,True
POLAR64_48,tau12_d3,3.0517578125e-05,15,True
POLAR64_48,tau13_d1,0.0,15,False
POLAR64_48,tau13_d3,0.0,15,False
POLAR64_48,tau14_d1,0.0,14,False
POLAR64_48,tau14_d3,0.0,14,False
POLAR64_48,tau15_d1,0.0,14,False
POLAR64_48,tau15_d3,0.0,14,False
POLAR64_48,tau16_d1,0.0,14,False
POLAR64_48,tau16_d3,0.0,14,False
POLAR64_48,tau17_d1,0.0,14,False
POLAR64_48,tau17_d3,0.0,14,False
POLAR64_48,tau18_d1,6.103515625e-05,14,True
POLAR64_48,tau18_d3,6.103515625e-05,14,True
POLAR64_48,tau19_d1,0.0,13,False
POLAR64_48,tau19_d3,0.0,13,False
POLAR64_48,tau20_d1,0.0,12,False
POLAR64_48,tau20_d3,0.0,12,False
POLAR64_48,tau21_d1,0.0,11,False
POLAR64_48,tau21_d3,0.0,11,False
POLAR64_48,tau22_d1,0.0,10,False
POLAR64_48,tau22_d3,0.0,10,False
POLAR64_48,tau23_d1,0.0,9,False
POLAR64_48,tau23_d3,0.0,9,False
POLAR64_48,tau24_d1,0.0,8,False
POLAR64_48,tau24_d3,0.0,8,False
POLAR64_48,tau25_d1,0.0,7,False
POLAR64_48,tau25_d3,0.0,7,False
POLAR64_48,tau26_d1,0.0,6,False
POLAR64_48,tau26_d3,0.0,6,False
POLAR64_48,tau27_d1,0.0,5,False
POLAR64_48,tau27_d3,0.0,5,False
POLAR64_48,tau28_d1,0.0,4,False
POLAR64_48,tau28_d3,0.0,4,False
POLAR64_48,tau29_d1,0.0,3,False
POLAR64_48,tau29_d3,0.0,3,False
POLAR64_48,tau30_d1,0.0,2,False
POLAR64_48,tau30_d3,0.0,2,False
POLAR64_48,tau31_d1,0.0,1,False
POLAR64_48,tau31_d3,0.0,1,False
