case_id,trial_uid,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,phase_innovation_std_deg,phase_initial_std_deg,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,transmitted_int,decoder,decoded_correct,decoded_int,success,certified,cap_hit,stop_reason,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_codewords,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,preprocessing_state_metrics,wall_seconds,queue_touch_fraction
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,latent_osd_batch_o2_s31,True,415324130,True,False,False,best_marginal_in_osd_union,1736,0,31,31,976,976,976,30256,968192,1736,31,0.06871921999845654,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,plain_osd_batch_o2,False,442499947,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0024328799918293953,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,lsgrand_certified_v1_bound,True,415324130,True,True,False,strict_unseen_codeword_certificate,128,128,31,31,1,1,0,128,4096,0,31,0.0023454480106011033,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,ls_first_valid,True,3307731303,True,False,False,valid_list_complete,8,8,31,7,1,1,0,0,0,0,31,0.0009229501010850072,0.22580645161290322
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,ls_list_marginal_L2,True,3307731303,True,False,False,valid_list_complete,9600,8028,31,31,4,2,2,62,1984,0,62,0.10952783504035324,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,ls_list_marginal_L4,True,3307731303,True,False,False,valid_list_complete,17062,13968,31,31,7,4,4,124,3968,0,62,0.1704513959120959,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,ls_list_marginal_L8,True,3307731303,True,False,True,query_cap_before_list,25000,20164,31,31,8,5,5,155,4960,0,62,0.3198252789443359,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,latent_osd_batch_o2_s31,True,3307731303,True,False,False,best_marginal_in_osd_union,1736,0,31,31,1013,1013,1013,31403,1004896,1736,31,0.10463397100102156,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,plain_osd_batch_o2,False,3335398366,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0027340829838067293,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t4,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,4,3307731303,lsgrand_certified_v1_bound,True,3307731303,True,True,False,strict_unseen_codeword_certificate,64,64,31,31,1,1,0,64,2048,0,31,0.0022017910378053784,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,ls_first_valid,True,3006281097,True,False,False,valid_list_complete,49,49,31,31,1,1,0,0,0,0,31,0.0012866819743067026,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,ls_list_marginal_L2,True,3006281097,True,False,False,valid_list_complete,11903,9822,31,31,4,2,2,62,1984,0,62,0.12617632502224296,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,ls_list_marginal_L4,True,3006281097,True,False,False,valid_list_complete,13134,10792,31,31,6,4,4,124,3968,0,62,0.13196428411174566,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,ls_list_marginal_L8,True,3006281097,True,False,True,query_cap_before_list,25000,20012,31,31,10,6,6,186,5952,0,62,0.34902750607579947,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,latent_osd_batch_o2_s31,True,3006281097,True,False,False,best_marginal_in_osd_union,1736,0,31,31,940,940,940,29140,932480,1736,31,0.07771711703389883,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,plain_osd_batch_o2,False,977633171,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0023389810230582952,1.0
