n,symbols,apparent_hamming_weight,apparent_error_fraction,hard_grand_log2_rank_lower_bound,latent_family_size,latent_family_log2_size,log2_coordinate_separation_lower_bound,case_id,family,k,rate,code_replicate,trial_id,location_label,location_fraction,tau,direction
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,102,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,103,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,104,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,105,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,106,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,107,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,108,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,109,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,110,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,111,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,112,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,113,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,114,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,115,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,116,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,117,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,118,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,1,119,middle,0.5,8,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,120,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,121,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,122,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,123,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,124,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,125,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,126,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,127,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,128,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,129,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,130,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,131,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,132,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,133,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,134,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,135,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,136,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,137,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,138,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,2,139,early,0.15,2,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,2,140,late,0.85,14,1
