experiment,case_id,trial_id,n,k,rate,family,snr_db,true_label,states,full_cartesian_pairs,oracle_marginal_int,oracle_joint_int,transmitted_int,oracle_tie,oracle_margin_log,certified,ls_decoded_int,ls_matches_marginal,certificate_verified,first_decoded_int,first_matches_marginal,joint_matches_marginal,marginal_error,joint_error,first_error,direct_probability_check,membership_queries,query_fraction_of_cartesian,latent_queues_touched,queue_touch_fraction,valid_witnesses,unique_codewords_seen,certificate_query_overhead,certificate_margin_log,ls_cap_hit,ls_wall_seconds,first_queries,first_wall_seconds
exactness,E10_SPARSE,32,10,7,0.7,sparse,7.0,slip_1_3,9,9216,708,619,619,False,0.0006502801070755737,True,708,True,True,619,False,False,True,False,False,True,37,0.004014756944444444,9,1.0,3,2,6.166666666666667,0.00012090535616682274,False,0.0009374079527333379,3,0.00018462096340954304
exactness,E10_SPARSE,33,10,7,0.7,sparse,5.0,no_slip,9,9216,118,118,118,False,1.5433759804179559,True,118,True,True,118,True,True,False,False,False,True,4,0.00043402777777777775,1,0.1111111111111111,1,1,2.0,0.038266577465152274,False,0.00027398893143981695,2,0.0001651120837777853
exactness,E10_SPARSE,34,10,7,0.7,sparse,7.0,slip_4_3,9,9216,967,967,967,False,0.004024455797067894,True,967,True,True,988,False,True,False,False,True,True,38,0.004123263888888889,9,1.0,8,6,4.222222222222222,0.0010309640975174617,False,0.0012125269277021289,4,0.00017585000023245811
exactness,E10_SPARSE,35,10,7,0.7,sparse,7.0,no_slip,9,9216,24,24,24,False,9.848398646192301,True,24,True,True,24,True,True,False,False,False,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.19714628591640204,False,0.00019726203754544258,1,0.0001573179615661502
exactness,E10_SPARSE,36,10,7,0.7,sparse,7.0,slip_2_3,9,9216,963,963,963,False,6.179314043476296,True,963,True,True,963,True,True,False,False,False,True,9,0.0009765625,9,1.0,1,1,1.8,3.2994839221027203,False,0.0002983909798786044,5,0.0001847940729930997
exactness,E10_SPARSE,37,10,7,0.7,sparse,-1.0,slip_1_3,9,9216,533,533,657,False,0.5350816895537118,True,533,True,True,533,True,True,True,True,True,True,148,0.016059027777777776,9,1.0,19,15,18.5,0.0028420452705386623,False,0.007613645982928574,8,0.00027541397139430046
exactness,E10_SPARSE,38,10,7,0.7,sparse,1.0,no_slip,9,9216,390,390,390,False,1.973069204236415,True,390,True,True,390,True,True,False,False,False,True,15,0.0016276041666666667,8,0.8888888888888888,2,1,5.0,0.13001818952050392,False,0.0004096650518476963,3,0.0001760409213602543
exactness,E10_SPARSE,39,10,7,0.7,sparse,-1.0,no_slip,9,9216,299,299,299,False,0.015046920160580513,True,299,True,True,299,True,True,False,False,False,True,1018,0.11046006944444445,9,1.0,129,47,92.54545454545455,8.925273767523834e-05,False,0.1529667949071154,11,0.00034094194415956736
exactness,E10_SPARSE,40,10,7,0.7,sparse,1.0,no_slip,9,9216,481,481,481,False,0.18480472476061038,True,481,True,True,481,True,True,False,False,False,True,195,0.021158854166666668,9,1.0,25,15,48.75,0.008515248730706304,False,0.013452212908305228,4,0.0002852089237421751
exactness,E10_SPARSE,41,10,7,0.7,sparse,3.0,no_slip,9,9216,33,33,33,False,2.0492931032634987,True,33,True,True,33,True,True,False,False,False,True,2,0.00021701388888888888,1,0.1111111111111111,1,1,2.0,0.019826255961749695,False,0.00023217499256134033,1,0.00015404005534946918
